label,total,passed,failed,pass_pct,fail_pct
amendment,11275,4598,6677,40.78048780487805,59.21951219512195
suspension of rules,4884,4643,241,95.06552006552008,4.934479934479924
passage,3320,3193,127,96.17469879518072,3.825301204819283
resolution,2581,2467,114,95.58310732274312,4.416892677256882
cloture,2299,1730,569,75.25010874293172,24.749891257068285
procedural motion,2203,721,1482,32.72809804811621,67.27190195188379
motion to table,2122,1805,317,85.06126295947219,14.938737040527812
other,2027,1998,29,98.56931425752343,1.4306857424765695
nomination,1914,1910,4,99.79101358411702,0.2089864158829755
motion to recommit,1205,59,1146,4.8962655601659755,95.10373443983403
conference report,740,670,70,90.54054054054053,9.459459459459467
motion to proceed,300,238,62,79.33333333333333,20.66666666666667
quorum or attendance,52,52,0,100.0,0.0
veto override,24,19,5,79.16666666666666,20.833333333333343
unknown,8,4,4,50.0,50.0
